"name","type","ip","port","login"
"AM_БлинБери","iikoChain","blinberi-co.iiko.it","443","SinicinVV"
"AM_СушиВёсла","iikoChain","sushivesla-co.iiko.it","443","SinicinVV"
"Blinberry HQ","iikoChain","blinberry-hq.syrve.online","443","SinicinVV"
"FTL Dev","iikoChain","ftl-dev-co.iiko.it","443","SinicinVV"
"Авиабаза ЦО","iikoChain","aviabaza-co.iiko.it","443","efit1233"
"БлинБери KZ","iikoChain","blinberry-co.iiko.it","443","SinicinVV"
"БлинБерри","iikoChain","bb-chain.iiko.it","443","SinicinVV"
"ГК СУШИВЕСЛА","iikoChain","gk-sv.iiko.it","443","SinicinVV"
"Blinberry - Dubai Mall","iikoOffice","blinberry-dubai-mall.syrve.online","443","SinicinVV"
"Blinberry Bluewaters","iikoOffice","bb-bluewaters.syrve.online","443","SinicinVV"
"Cwh-bbg","iikoOffice","cwhbbg.syrve.online","443","SinicinVV"
"FTL DEV CHUIKOVA","iikoOffice","ftl-dev-chuikova.iiko.it","443","SinicinVV"
"FTL DEV LOGINOVA","iikoOffice","ftl-dev-loginova.iiko.it","443","SinicinVV"
"MarinaMall","iikoOffice","blinberry.syrve.online","443","SinicinVV"
"PizzaCup","iikoOffice","pizzacup.iiko.it","443","SinicinVV"
"TEST RMS","iikoOffice","sv-klass-obucheniya.iiko.it","443","SinicinVV"
"ББ Волгоград 7 Гвардейская","iikoOffice","bb-rms2.iiko.it","443","SinicinVV"
"ББ Волгоград Авангард стрит","iikoOffice","blinnaya-12.iiko.it","443","SinicinVV"
"ББ Волгоград Акварель ФК","iikoOffice","bb-rms1.iiko.it","443","SinicinVV"
"ББ Волгоград Аллея Героев","iikoOffice","bb-volgograd-alleya-geroev.iiko.it","443","SinicinVV"
"ББ Волгоград Арена","iikoOffice","bb-volgograd-arena.iiko.it","443","SinicinVV"
"ББ Волгоград Ашан Историческая","iikoOffice","ashan-istoricheskaya.iiko.it","443","SinicinVV"
"ББ Волгоград Белый Аист","iikoOffice","blinnaya-36.iiko.it","443","SinicinVV"
"ББ Волгоград Бульвар Энгельса","iikoOffice","bb-bulvar-engelsa.iiko.it","443","SinicinVV"
